Booking_ID,no_of_adults,no_of_children,total_guests,no_of_weekend_nights,no_of_week_nights,length_of_stay,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_formatted_date
INN00001,2,0,2,1,2,3,1,0,1,224,2017,10,2,2,0,0,0,65,0,0,02-10-17
INN00002,2,0,2,2,3,5,0,0,1,5,2018,11,6,1,0,0,0,106.68,1,0,06-11-18
INN00003,1,0,1,2,1,3,1,0,1,1,2018,2,28,1,0,0,0,60,0,1,28-02-18
INN00004,2,0,2,0,2,2,1,0,1,211,2018,5,20,1,0,0,0,100,0,1,20-05-18
INN00005,2,0,2,1,1,2,0,0,1,48,2018,4,11,1,0,0,0,94.5,0,1,11-04-18
INN00006,2,0,2,0,2,2,2,0,1,346,2018,9,13,1,0,0,0,115,1,1,13-09-18
INN00007,2,0,2,1,3,4,1,0,1,34,2017,10,15,1,0,0,0,107.55,1,0,15-10-17
INN00008,2,0,2,1,3,4,1,0,4,83,2018,12,26,1,0,0,0,105.61,1,0,26-12-18
INN00009,3,0,3,0,4,4,1,0,1,121,2018,7,6,2,0,0,0,96.9,1,0,06-07-18
INN00010,2,0,2,0,5,5,1,0,4,44,2018,10,18,1,0,0,0,133.44,3,0,18-10-18
INN00011,1,0,1,1,0,1,0,0,1,0,2018,9,11,1,0,0,0,85.03,0,0,11-09-18
INN00012,1,0,1,2,1,3,1,0,4,35,2018,4,30,1,0,0,0,140.4,1,0,30-04-18
INN00013,2,0,2,2,1,3,0,0,1,30,2018,11,26,1,0,0,0,88,0,1,26-11-18
INN00014,1,0,1,2,0,2,1,0,1,95,2018,11,20,1,0,0,0,90,2,1,20-11-18
INN00015,2,0,2,0,2,2,1,0,1,47,2017,10,20,1,0,0,0,94.5,2,0,20-10-17
INN00016,2,0,2,0,2,2,2,0,1,256,2018,6,15,1,0,0,0,115,1,1,15-06-18
INN00017,1,0,1,1,0,1,1,0,1,0,2017,10,5,2,0,0,0,96,0,0,05-10-17
INN00018,2,0,2,1,3,4,0,0,1,1,2017,8,10,1,0,0,0,96,1,0,10-08-17
